x utau delta99 delta* theta beta Ue Reth 
3.44238281e+02 4.48310997e-02 1.16628497e+01 2.37099672e+00 1.51050854e+00 5.40038456e-01 9.47794352e-01 6.44243159e+02
3.45703125e+02 4.47476158e-02 1.17058317e+01 2.38295032e+00 1.51766755e+00 5.49441020e-01 9.47098784e-01 6.46821490e+02
3.47167969e+02 4.46639118e-02 1.17487469e+01 2.39505964e+00 1.52491036e+00 5.58896654e-01 9.46403943e-01 6.49431530e+02
3.48632812e+02 4.45807367e-02 1.17915686e+01 2.40732116e+00 1.53223378e+00 5.68459111e-01 9.45709640e-01 6.52071718e+02
3.50097656e+02 4.44972079e-02 1.18356304e+01 2.42287735e+00 1.54273616e+00 5.79545650e-01 9.45021141e-01 6.56063228e+02
3.51562500e+02 4.44135262e-02 1.18820023e+01 2.43507085e+00 1.55001860e+00 5.89219336e-01 9.44275048e-01 6.58639749e+02
3.53027344e+02 4.43294877e-02 1.19281324e+01 2.44741510e+00 1.55738343e+00 5.98976871e-01 9.43529102e-01 6.61246464e+02
3.54492188e+02 4.42442186e-02 1.19739897e+01 2.45990614e+00 1.56482736e+00 6.08863763e-01 9.42783059e-01 6.63881725e+02
3.55957031e+02 4.41580320e-02 1.20195603e+01 2.47254148e+00 1.57234834e+00 6.18832944e-01 9.42036819e-01 6.66544512e+02
3.57421875e+02 4.40720470e-02 1.20649039e+01 2.48532530e+00 1.57994828e+00 6.28859537e-01 9.41290944e-01 6.69235953e+02
3.58886719e+02 4.39868456e-02 1.21100647e+01 2.49826229e+00 1.58762869e+00 6.38886897e-01 9.40546038e-01 6.71957045e+02
3.60351562e+02 4.39023811e-02 1.21550503e+01 2.51135348e+00 1.59538852e+00 6.48901390e-01 9.39802317e-01 6.74707421e+02
3.61816406e+02 4.38181470e-02 1.21999261e+01 2.52460217e+00 1.60322870e+00 6.58961328e-01 9.39060257e-01 6.77487761e+02
3.63281250e+02 4.37337927e-02 1.22486137e+01 2.54088375e+00 1.61412343e+00 6.70640269e-01 9.38282752e-01 6.81526880e+02
3.64746094e+02 4.36503104e-02 1.22966600e+01 2.55402463e+00 1.62189858e+00 6.80632492e-01 9.37486872e-01 6.84228880e+02
3.66210938e+02 4.35677712e-02 1.23443785e+01 2.56732176e+00 1.62975799e+00 6.90592750e-01 9.36692299e-01 6.86961792e+02
3.67675781e+02 4.34854831e-02 1.23917819e+01 2.58077492e+00 1.63770105e+00 7.00577728e-01 9.35899223e-01 6.89725411e+02
3.69140625e+02 4.34044765e-02 1.24388479e+01 2.59437835e+00 1.64572252e+00 7.10543643e-01 9.35107327e-01 6.92517233e+02
3.70605469e+02 4.33241853e-02 1.24856211e+01 2.60813528e+00 1.65382120e+00 7.20485640e-01 9.34317112e-01 6.95337053e+02
3.72070312e+02 4.32420353e-02 1.25321386e+01 2.62204985e+00 1.66199740e+00 7.30504769e-01 9.33529159e-01 6.98185365e+02
3.73535156e+02 4.31586193e-02 1.25784075e+01 2.63611919e+00 1.67024878e+00 7.40560619e-01 9.32743440e-01 7.01061119e+02
3.75000000e+02 4.30748146e-02 1.26280928e+01 2.65327736e+00 1.68160250e+00 7.52369547e-01 9.31926278e-01 7.05208300e+02
3.76464844e+02 4.29906849e-02 1.26774790e+01 2.66721020e+00 1.68976660e+00 7.62426538e-01 9.31087649e-01 7.07994363e+02
3.77929688e+02 4.29051472e-02 1.27266004e+01 2.68130705e+00 1.69801519e+00 7.72479337e-01 9.30252088e-01 7.10811981e+02
3.79394531e+02 4.28175693e-02 1.27754588e+01 2.69556931e+00 1.70634761e+00 7.82561027e-01 9.29419910e-01 7.13661048e+02
3.80859375e+02 4.27288007e-02 1.28240055e+01 2.70999273e+00 1.71475991e+00 7.92695795e-01 9.28590975e-01 7.16539759e+02
3.82324219e+02 4.26399531e-02 1.28722798e+01 2.72457842e+00 1.72325222e+00 8.02878443e-01 9.27765667e-01 7.19448409e+02
3.83789062e+02 4.25510658e-02 1.29203439e+01 2.73932834e+00 1.73182553e+00 8.13070802e-01 9.26944458e-01 7.22387735e+02
3.85253906e+02 4.24618025e-02 1.29682486e+01 2.75424393e+00 1.74048087e+00 8.23248978e-01 9.26127779e-01 7.25358458e+02
3.86718750e+02 4.23736810e-02 1.30202639e+01 2.77229022e+00 1.75228795e+00 8.35346420e-01 9.25280355e-01 7.29610927e+02
3.88183594e+02 4.22872313e-02 1.30717823e+01 2.78708720e+00 1.76087209e+00 8.45288410e-01 9.24416360e-01 7.32500536e+02
3.89648438e+02 4.22011467e-02 1.31228290e+01 2.80203528e+00 1.76953097e+00 8.55189719e-01 9.23555690e-01 7.35417180e+02
3.91113281e+02 4.21141419e-02 1.31735054e+01 2.81714271e+00 1.77826831e+00 8.65107756e-01 9.22699318e-01 7.38363129e+02
3.92578125e+02 4.20253731e-02 1.32238384e+01 2.83240965e+00 1.78708269e+00 8.75082416e-01 9.21847529e-01 7.41337992e+02
3.94042969e+02 4.19346563e-02 1.32737584e+01 2.84782559e+00 1.79596617e+00 8.85113003e-01 9.20999700e-01 7.44337935e+02
3.95507812e+02 4.18438127e-02 1.33232943e+01 2.86338890e+00 1.80491705e+00 8.95202225e-01 9.20155988e-01 7.47362354e+02
3.96972656e+02 4.17540905e-02 1.33736183e+01 2.88245117e+00 1.81722984e+00 9.07346981e-01 9.19323695e-01 7.51780105e+02
3.98437500e+02 4.16649763e-02 1.34272470e+01 2.89789006e+00 1.82609818e+00 9.17152094e-01 9.18436604e-01 7.54719935e+02
3.99902344e+02 4.15758867e-02 1.34804184e+01 2.91349149e+00 1.83504735e+00 9.26911571e-01 9.17555047e-01 7.57690629e+02
4.01367188e+02 4.14883344e-02 1.35331556e+01 2.92925267e+00 1.84407646e+00 9.36595751e-01 9.16679077e-01 7.60691840e+02
4.02832031e+02 4.14040598e-02 1.35854819e+01 2.94517133e+00 1.85318333e+00 9.46089529e-01 9.15808798e-01 7.63722718e+02
4.04296875e+02 4.13205788e-02 1.36374461e+01 2.96124931e+00 1.86236732e+00 9.55514005e-01 9.14944681e-01 7.66783383e+02
4.05761719e+02 4.12355545e-02 1.36890809e+01 2.97748647e+00 1.87162749e+00 9.64956852e-01 9.14087037e-01 7.69873692e+02
4.07226562e+02 4.11481607e-02 1.37404673e+01 2.99388796e+00 1.88096714e+00 9.74492511e-01 9.13236607e-01 7.72995620e+02
4.08691406e+02 4.10598265e-02 1.37946503e+01 3.01365103e+00 1.89362297e+00 9.86475706e-01 9.12377104e-01 7.77464210e+02
4.10156250e+02 4.09727439e-02 1.38499606e+01 3.02989511e+00 1.90287266e+00 9.95831700e-01 9.11484791e-01 7.80497770e+02
4.11621094e+02 4.08877305e-02 1.39046156e+01 3.04628335e+00 1.91219440e+00 1.00501728e+00 9.10598156e-01 7.83558314e+02
4.13085938e+02 4.08023508e-02 1.39587279e+01 3.06282005e+00 1.92158968e+00 1.01420653e+00 9.09717856e-01 7.86647000e+02
4.14550781e+02 4.07150075e-02 1.40124008e+01 3.07951046e+00 1.93106201e+00 1.02351690e+00 9.08844647e-01 7.89765918e+02
4.16015625e+02 4.06277450e-02 1.40656722e+01 3.09635541e+00 1.94061200e+00 1.03282549e+00 9.07978922e-01 7.92915657e+02
4.17480469e+02 4.05412531e-02 1.41184831e+01 3.11334401e+00 1.95023163e+00 1.04205612e+00 9.07120115e-01 7.96092453e+02
