x utau delta99 delta* theta beta Ue Reth 
3.29589844e+02 4.67900839e-02 1.10184386e+01 2.15538191e+00 1.38401725e+00 2.94964559e-01 9.63030435e-01 5.99782830e+02
3.31054688e+02 4.67278993e-02 1.10553801e+01 2.16421211e+00 1.38955325e+00 2.99711096e-01 9.62566308e-01 6.01891714e+02
3.32519531e+02 4.66648187e-02 1.10921773e+01 2.17313202e+00 1.39513645e+00 3.04519282e-01 9.62102637e-01 6.04019007e+02
3.33984375e+02 4.66009605e-02 1.11288730e+01 2.18214470e+00 1.40076990e+00 3.09394194e-01 9.61639762e-01 6.06166215e+02
3.35449219e+02 4.65367688e-02 1.11655242e+01 2.19125520e+00 1.40645784e+00 3.14328885e-01 9.61178249e-01 6.08335510e+02
3.36914062e+02 4.64729023e-02 1.12020820e+01 2.20045873e+00 1.41219682e+00 3.19340836e-01 9.60717669e-01 6.10525097e+02
3.38378906e+02 4.64094852e-02 1.12385040e+01 2.20975091e+00 1.41798336e+00 3.24426943e-01 9.60257636e-01 6.12733207e+02
3.39843750e+02 4.63461419e-02 1.12747964e+01 2.21913140e+00 1.42381703e+00 3.29570716e-01 9.59798150e-01 6.14959630e+02
3.41308594e+02 4.62828763e-02 1.13135368e+01 2.23177142e+00 1.43288646e+00 3.35515191e-01 9.59323522e-01 6.18570760e+02
3.42773438e+02 4.62189002e-02 1.13524262e+01 2.24096848e+00 1.43860860e+00 3.40699832e-01 9.58812206e-01 6.20709967e+02
3.44238281e+02 4.61536906e-02 1.13910789e+01 2.25025516e+00 1.44437921e+00 3.45928048e-01 9.58301096e-01 6.22867582e+02
3.45703125e+02 4.60871683e-02 1.14294929e+01 2.25963005e+00 1.45019735e+00 3.51216391e-01 9.57790089e-01 6.25043092e+02
3.47167969e+02 4.60200702e-02 1.14676702e+01 2.26909085e+00 1.45606162e+00 3.56569658e-01 9.57279018e-01 6.27235757e+02
3.48632812e+02 4.59527809e-02 1.15056796e+01 2.27864219e+00 1.46197566e+00 3.61984817e-01 9.56768413e-01 6.29447459e+02
