x utau delta99 delta* theta beta Ue Reth 
3.51562500e+02 4.32418526e-02 1.21945952e+01 2.54329778e+00 1.61193484e+00 6.40392189e-01 9.25778487e-01 6.71532566e+02
3.53027344e+02 4.31606511e-02 1.22405680e+01 2.55609936e+00 1.61953614e+00 6.48846482e-01 9.25030626e-01 6.74154237e+02
3.54492188e+02 4.30807873e-02 1.22863305e+01 2.56904389e+00 1.62721536e+00 6.57429053e-01 9.24285563e-01 6.76805249e+02
3.55957031e+02 4.30027784e-02 1.23318561e+01 2.58212891e+00 1.63496917e+00 6.66005128e-01 9.23543112e-01 6.79484030e+02
3.57421875e+02 4.29250332e-02 1.23772146e+01 2.59536742e+00 1.64280148e+00 6.74513153e-01 9.22804521e-01 6.82193086e+02
3.58886719e+02 4.28451222e-02 1.24224544e+01 2.60876766e+00 1.65071275e+00 6.83103440e-01 9.22070606e-01 6.84933168e+02
3.60351562e+02 4.27623532e-02 1.24699483e+01 2.62555840e+00 1.66193495e+00 6.93465151e-01 9.21332102e-01 6.89037311e+02
3.61816406e+02 4.26770096e-02 1.25190719e+01 2.63883046e+00 1.66975804e+00 7.02370693e-01 9.20549567e-01 6.91692767e+02
3.63281250e+02 4.25909177e-02 1.25678553e+01 2.65224722e+00 1.67765171e+00 7.11376220e-01 9.19769813e-01 6.94374028e+02
3.64746094e+02 4.25038300e-02 1.26162971e+01 2.66581077e+00 1.68561798e+00 7.20471339e-01 9.18993071e-01 6.97082059e+02
3.66210938e+02 4.24159216e-02 1.26644290e+01 2.67952620e+00 1.69366138e+00 7.29639771e-01 9.18219806e-01 6.99819041e+02
3.67675781e+02 4.23283372e-02 1.27123354e+01 2.69340389e+00 1.70178965e+00 7.38828095e-01 9.17451069e-01 7.02588931e+02
3.69140625e+02 4.22413109e-02 1.27600519e+01 2.70744563e+00 1.71000533e+00 7.48104717e-01 9.16687190e-01 7.05392991e+02
3.70605469e+02 4.21544408e-02 1.28076603e+01 2.72165300e+00 1.71830967e+00 7.57563702e-01 9.15928509e-01 7.08231967e+02
3.72070312e+02 4.20674397e-02 1.28561999e+01 2.73944293e+00 1.73006012e+00 7.68923172e-01 9.15183122e-01 7.12494820e+02
3.73535156e+02 4.19808110e-02 1.29076684e+01 2.75348180e+00 1.73826925e+00 7.78284466e-01 9.14374202e-01 7.15242852e+02
3.75000000e+02 4.18962915e-02 1.29586422e+01 2.76767388e+00 1.74656538e+00 7.87610842e-01 9.13568893e-01 7.18023511e+02
3.76464844e+02 4.18149128e-02 1.30091053e+01 2.78200903e+00 1.75493922e+00 7.96995175e-01 9.12766548e-01 7.20832416e+02
3.77929688e+02 4.17344716e-02 1.30590866e+01 2.79648192e+00 1.76338277e+00 8.06448503e-01 9.11966929e-01 7.23666046e+02
3.79394531e+02 4.16542471e-02 1.31086540e+01 2.81110485e+00 1.77190251e+00 8.15897166e-01 9.11171200e-01 7.26527943e+02
3.80859375e+02 4.15736469e-02 1.31578417e+01 2.82588317e+00 1.78050029e+00 8.25404067e-01 9.10379953e-01 7.29419297e+02
3.82324219e+02 4.14929100e-02 1.32067361e+01 2.84081480e+00 1.78917410e+00 8.34964162e-01 9.09593218e-01 7.32339282e+02
3.83789062e+02 4.14120031e-02 1.32553684e+01 2.85589407e+00 1.79791988e+00 8.44638924e-01 9.08810702e-01 7.35285974e+02
3.85253906e+02 4.13299933e-02 1.33081591e+01 2.87414611e+00 1.80990460e+00 8.56348730e-01 9.07988292e-01 7.39517482e+02
3.86718750e+02 4.12470719e-02 1.33600517e+01 2.88899721e+00 1.81850895e+00 8.66057113e-01 9.07152792e-01 7.42349462e+02
3.88183594e+02 4.11633553e-02 1.34115259e+01 2.90400877e+00 1.82719530e+00 8.75692495e-01 9.06322016e-01 7.45212298e+02
